x_i f_ion f_heat f_excite f_Lya f_ion_HI
0.0001 0.394 0.126 0.479 0.376 0.346
0.00023 0.392 0.138 0.47 0.369 0.3434
0.00047 0.389 0.153 0.458 0.36 0.341
0.001 0.384 0.176 0.44 0.347 0.335
0.0023 0.371 0.212 0.417 0.33 0.324
0.0047 0.355 0.255 0.389 0.31 0.308
0.01 0.329 0.319 0.352 0.281 0.284
0.023 0.283 0.418 0.299 0.239 0.243
0.047 0.232 0.528 0.24 0.193 0.197
0.1 0.165 0.668 0.167 0.134 0.137
0.5 0.0446 0.922 0.0331 0.0266 0.0279
0.9 0.0229 0.973 0.004 0.00323 0.00388
0.99 0.0209 0.979 0.000357 0.000284 0.00072
0.999 0.0207 0.979 3.86e-05 3.03e-05 0.000405
